title,dealer,type,location,min_level,requirements,previous,leads_to,objectives,rewards,exp
The Punisher - Part 4,Prapor,Elimination,"Woods,Shoreline",20,Must be level 20 to start this quest.,The Punisher - Part 3,The Punisher - Part 5,"Kill 10 Scavs in Woods using 12 gauge shotguns,Kill 10 PMCs on Shoreline while wearing a balaclava and a scav vest.,Bring 10 Bars A-2607 knives,Handover knives to Prapor","+19,000 EXP,Prapor Rep +0.12,Jaeger Rep -0.01,Colt M4A1 5.56x45 Assault Rifle,100,000 Roubles,Unlocks purchase of 5.45x39 mm BT at LL3",19000
The Punisher - Part 3,Prapor,Elimination,Customs,19,Must be level 19 to start this quest.,The Punisher - Part 2,The Punisher - Part 4,Kill 25 Scavs on Customs using AKS-74U,"+12,400 EXP,Prapor Rep +0.08,Skier Rep +0.05,2,500 Dollars,DVL-10 Saboteur sniper rifle",12400
Pharmacist,Therapist,PickUp,Customs,10,Must be level 10 to start this quest.,Painkiller,"Supply plans,General wares,Health Care Privacy - Part 1,Kind of sabotage,Car repair","Find a case with the device,(Optional) Find the paramedic's car,(Optional) Get into dorm room 114,Hand over the case to Therapist","+5,900 EXP,Therapist Rep +0.09,25,000 Roubles,4x IFAK personal tactical first aid kit,Unlocks barter for 6B47 Helmet with cover (flora digital) at Ragman LL2",5900
Kind of sabotage,Skier,PickUp,Woods,0,,Pharmacist,,Hand over folder 0052 to Skier.,"+4,600 EXP,Skier Rep +0.3,180,000 Roubles",4600
Operation Aquarius - Part 2,Therapist,Elimination,Customs,6,Must be level 6 to start this quest.,Operation Aquarius - Part 1,,Eliminate 15 Scavs on Customs,"+3,400 EXP,Therapist Rep +0.09,Skier Rep -0.08,15,000 Roubles,3x Army bandage,Unlocks purchase of Army bandage at LL2",3400
Painkiller,Therapist,PickUp,,8,Must be level 8 to start this quest.,Sanitary Standards - Part 2,Pharmacist,"Find in raid 5 morphine syringes,Hand the syringes over to Therapist","+4,600 EXP,Therapist Rep +0.09,17,000 Roubles,10x Analgin painkillers",4600
What's on the flash drive?,Skier,PickUp,Woods,8,Must be level 8 to start this quest.,The Extortionist,"Golden swag,Shady business","Find two USB flash drives with information,Hand them over to Skier","+4,500 EXP,Skier Rep +0.1,Jaeger Rep -0.01,30,000 Roubles,Simonov Semi-Automatic Carbine SKS 7.62x39 Hunting Rifle Version,2x ProMag SKS-A5 7.62x39 20-round SKS magazine",4500
Supply plans,Therapist,PickUp,Woods,13,Must be level 13 to start this quest.,Pharmacist,,"Find the secure folder on the sawmill,Survive and exit Woods location,Hand over the folder to Therapist","+7,700 EXP,Therapist Rep +0.09,70,000 Roubles",7700
General wares,Therapist,Completion,,0,,Pharmacist,,"Find in raid 15 cans of meat,Hand the cans over to Therapist","+5,000 EXP,Therapist Rep +0.07,4x Can of pacific saury,2x Iskra lunch box",5000
The Punisher - Part 2,Prapor,Elimination,Shoreline,18,Must be level 18 to start this quest.,The Punisher - Part 1,The Punisher - Part 3,"Kill 12 Scavs at the Shoreline using a suppressed weapon,Find in raid 10 Lower half-masks,Hand masks over to Prapor","+13,900 EXP,Prapor Rep +0.1,70,000 Roubles",13900
The Punisher - Part 1,Prapor,Elimination,Shoreline,17,Must be level 17 to start this quest.,Shaking up teller,The Punisher - Part 2,Kill 15 Scavs at the Shoreline using AKM series weapon,"+10,800 EXP,Prapor Rep +0.08,40,000 Roubles,6B43 Zabralo-Sh 6A Armor,Unlocks purchase of SV-98 bolt-action sniper rifle at LL3",10800
Shaking up teller,Prapor,PickUp,Customs,2,Obtain level 2 loyalty with Prapor,Postman Pat - Part 1,"The Punisher - Part 1,Perfect mediator,Grenadier","Find something valuable in the dorm room 203,(Optional) Gain access to room 214,Hand over the item to Prapor","+6,100 EXP,Prapor Rep +0.08,Jaeger Rep -0.01,22,000 Roubles,Unlocks purchase of PBS-4 5.45x39 Silencer at LL3,Unlocks purchase of Hexagon 12K sound suppressor at LL2",6100
Postman Pat - Part 2,Therapist,PickUp,Factory,0,,Postman Pat - Part 1,,Hand over the letter from messenger to the Therapist,"+4,200 EXP,Therapist Rep +0.06,5,000 Roubles,Unlocks purchase of Salewa FIRST AID KIT at LL2",4200
Postman Pat - Part 1,Prapor,PickUp,Factory,10,Must be level 10 to start this quest.,Ice cream cones,Shaking up teller,"Find a letter on a messenger in the Factory,Survive and exit Factory location,Hand over the letter to Therapist","+6,000 EXP,Prapor Rep +0.08,19,000 Roubles,Flyye MBSS Backpack",6000
Ice cream cones,Prapor,PickUp,,9,Must be level 9 to start this quest.,Bad rep evidence,Postman Pat - Part 1,"Find 6 60-round mags for AK,(Optional) Find the key from the bunker in the Terragroup employee room,(Optional) Locate the right bunker in the Woods,Hand over 6 60 round mags for AK to Prapor","+5,400 EXP,Prapor Rep +0.08,3x 60-round 6L31 5.45x39 magazine for AK-74 and compatibles,17,000 Roubles,100x 5.45x39 mm BP,Unlocks barter for 60-round 6L31 5.45x39 magazine for AK-74 and compatibles at LL2",5400
Health Care Privacy - Part 5,Therapist,Multi,Nighttime Factory,0,,Health Care Privacy - Part 4,Decontamination service,"Locate the drop spot in the nighttime in Factory,Obtain 3 packs of gunpowder and leave them in the designated spot","+13,300 EXP,Therapist Rep +0.1,35,000 Roubles,Meds case",13300
The Blood of War - Part 3,Ragman,Completion,Woods,30,Must be level 30 to start this quest.,The Blood of War - Part 2,Living high is not a crime - Part 2,"Find and mark first fuel stash,Find and mark second fuel stash,Find and mark third fuel stash,Survive and leave the area","+21,000 EXP,Ragman Rep +0.09,75,000 Roubles,2x Highcom Trooper TFO armor (multicam),1x Mystery Ranch Blackjack 50 backpack (multicam)",21000
Textile - Part 2,Ragman,PickUp,,47,Must be level 47 to start this quest.,Textile - Part 1,,"Obtain in raid 10 pcs. of Fleece cloth,Hand over Fleece cloth 10 pcs.,Obtain in raid 10 pcs. of Polyamide fabric Cordura,Hand over Polyamide fabric Cordura 10 pcs.,Obtain in raid KEKTAPE duct tape 5 pcs.,Hand over KEKTAPE duct tape 5 pcs.","100,000 Roubles,Mystery Ranch Blackjack 50 backpack (multicam)",0
